
I20241208 00:52:25 2111763 dinov2 train.py:276] Starting training from iteration 182610
I20241208 00:52:28 2111763 dinov2 helpers.py:102] Training  [182610/202900]  eta: 14:59:19  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6173 (12.6173)  dino_local_crops_loss: 9.7583 (9.7583)  dino_global_crops_loss: 1.2116 (1.2116)  kde_loss: -0.4976 (-0.4976)  ibot_loss: 2.1449 (2.1449)  time: 2.659417  data: 1.203381  max mem: 60012
I20241208 00:52:47 2111763 dinov2 helpers.py:102] Training  [182620/202900]  eta: 11:15:47  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6069 (12.5929)  dino_local_crops_loss: 9.7485 (9.7373)  dino_global_crops_loss: 1.2091 (1.2072)  kde_loss: -0.4980 (-0.4979)  ibot_loss: 2.1506 (2.1463)  time: 1.999407  data: 1.002572  max mem: 60049
I20241208 00:53:06 2111763 dinov2 helpers.py:102] Training  [182630/202900]  eta: 10:50:42  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5934 (12.5963)  dino_local_crops_loss: 9.7475 (9.7372)  dino_global_crops_loss: 1.2085 (1.2069)  kde_loss: -0.4980 (-0.4979)  ibot_loss: 2.1514 (2.1501)  time: 1.889438  data: 0.997749  max mem: 60049
I20241208 00:53:24 2111763 dinov2 helpers.py:102] Training  [182640/202900]  eta: 10:38:09  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6657 (12.6404)  dino_local_crops_loss: 9.7607 (9.7545)  dino_global_crops_loss: 1.2113 (1.2098)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1858 (2.1739)  time: 1.829646  data: 0.999058  max mem: 60049
I20241208 00:53:42 2111763 dinov2 helpers.py:102] Training  [182650/202900]  eta: 10:32:30  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5958 (12.6218)  dino_local_crops_loss: 9.7597 (9.7528)  dino_global_crops_loss: 1.2107 (1.2097)  kde_loss: -0.4976 (-0.4978)  ibot_loss: 2.1230 (2.1571)  time: 1.819525  data: 0.986136  max mem: 60049
I20241208 00:54:01 2111763 dinov2 helpers.py:102] Training  [182660/202900]  eta: 10:34:25  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5623 (12.6086)  dino_local_crops_loss: 9.7465 (9.7499)  dino_global_crops_loss: 1.2095 (1.2092)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1013 (2.1473)  time: 1.866542  data: 1.034853  max mem: 60049
I20241208 00:54:19 2111763 dinov2 helpers.py:102] Training  [182670/202900]  eta: 10:30:41  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5913 (12.6195)  dino_local_crops_loss: 9.7526 (9.7532)  dino_global_crops_loss: 1.2109 (1.2099)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1564 (2.1542)  time: 1.863297  data: 1.037740  max mem: 60049
I20241208 00:54:39 2111763 dinov2 helpers.py:102] Training  [182680/202900]  eta: 10:33:49  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5933 (12.6081)  dino_local_crops_loss: 9.7258 (9.7433)  dino_global_crops_loss: 1.2064 (1.2084)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1626 (2.1543)  time: 1.880936  data: 1.057164  max mem: 60049
I20241208 00:54:58 2111763 dinov2 helpers.py:102] Training  [182690/202900]  eta: 10:36:05  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5037 (12.5962)  dino_local_crops_loss: 9.6738 (9.7352)  dino_global_crops_loss: 1.1966 (1.2071)  kde_loss: -0.4980 (-0.4978)  ibot_loss: 2.1334 (2.1517)  time: 1.942960  data: 1.104985  max mem: 60049
I20241208 00:55:16 2111763 dinov2 helpers.py:102] Training  [182700/202900]  eta: 10:32:54  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5426 (12.5955)  dino_local_crops_loss: 9.6812 (9.7321)  dino_global_crops_loss: 1.1985 (1.2066)  kde_loss: -0.4980 (-0.4979)  ibot_loss: 2.1523 (2.1547)  time: 1.876955  data: 1.028323  max mem: 60049
I20241208 00:55:35 2111763 dinov2 helpers.py:102] Training  [182710/202900]  eta: 10:33:43  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5684 (12.5924)  dino_local_crops_loss: 9.7099 (9.7332)  dino_global_crops_loss: 1.2033 (1.2068)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1637 (2.1502)  time: 1.862287  data: 1.021327  max mem: 60049
I20241208 00:55:55 2111763 dinov2 helpers.py:102] Training  [182720/202900]  eta: 10:35:14  lr: 0.0000 (0.0000)  wd: 0.1961 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5445 (12.5875)  dino_local_crops_loss: 9.7445 (9.7340)  dino_global_crops_loss: 1.2078 (1.2070)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.0821 (2.1443)  time: 1.928559  data: 1.084181  max mem: 60049
